FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000126	7	9	11	14	19	7	11	10	2	8	8	14	8	5	5	7	8	8	9	9	10	10	9	14	7	8	8
OG0000129	5	7	3	10	12	7	12	9	11	22	13	14	2	4	4	5	8	8	8	8	8	6	6	10	9	11	15
OG0000130	3	25	15	2	21	3	12	8	7	13	10	9	2	1	3	4	7	7	8	8	9	12	12	10	8	9	10
OG0000133	2	2	13	18	10	3	4	9	3	14	8	12	13	19	7	7	7	7	7	7	7	7	3	10	7	9	10
OG0000135	6	15	15	3	12	7	18	5	2	12	8	9	4	13	6	6	7	7	9	9	9	11	11	8	5	8	9
OG0000139	2	9	18	6	24	6	8	5	6	10	7	13	8	4	5	7	7	7	8	9	9	9	8	11	6	8	8
OG0000140	4	15	21	0	12	7	6	8	7	10	10	8	10	8	6	7	8	8	8	8	8	11	11	8	8	8	10
OG0000144	0	0	1	75	48	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	0	42	0	0	0
OG0000147	1	8	5	2	19	7	19	9	12	11	12	16	0	2	3	4	8	8	8	7	7	6	6	8	9	10	11
OG0000150	0	13	11	1	1	1	41	2	0	37	1	9	4	1	3	4	4	4	5	4	4	6	6	2	2	7	9
OG0000151	58	7	6	0	0	0	0	0	48	0	2	0	0	1	1	1	1	1	1	1	1	7	12	0	4	1	1
OG0000153	9	10	12	20	17	5	10	7	5	8	5	11	1	1	3	4	6	6	8	9	10	10	10	16	6	7	7
OG0000155	0	2	3	3	4	1	18	3	8	25	6	12	8	27	7	7	7	7	7	4	4	3	2	4	7	10	12
OG0000158	3	11	11	5	12	9	5	13	7	11	11	9	10	2	5	7	8	8	8	8	8	8	8	8	8	9	11
OG0000159	3	8	28	0	16	3	18	0	3	3	14	9	4	8	5	5	6	6	7	7	7	9	8	7	3	7	7
OG0000161	3	6	4	8	11	6	15	8	9	6	14	12	1	13	6	6	7	7	7	7	7	5	5	8	8	9	9
OG0000163	5	7	8	12	15	2	8	10	4	12	11	8	11	3	5	7	7	7	7	7	7	7	7	12	7	8	11
OG0000165	0	15	10	3	9	10	6	8	9	6	1	19	15	4	5	7	8	8	8	8	8	8	8	7	8	8	6
OG0000169	4	10	8	10	10	7	10	15	8	8	4	12	1	7	5	5	7	8	8	8	8	8	8	9	9	8	7
OG0000175	1	1	8	42	2	9	0	16	9	0	0	6	4	14	5	5	5	5	5	6	6	5	1	8	9	4	0
OG0000176	0	17	6	5	15	6	18	3	11	4	5	11	5	6	5	6	7	7	7	7	7	7	7	8	7	7	5
OG0000177	3	17	13	1	7	6	6	12	10	9	5	10	8	5	5	6	7	7	7	7	7	9	9	6	9	7	7
OG0000180	2	14	9	3	11	9	11	10	7	8	8	9	2	7	5	6	7	7	8	8	8	8	8	8	8	8	8
OG0000184	0	4	19	8	66	0	4	0	3	0	0	5	0	1	2	2	2	2	3	4	7	7	4	15	2	2	0
OG0000189	0	10	20	8	4	34	4	5	3	1	4	5	9	1	4	5	5	5	6	9	9	10	9	8	5	5	4
OG0000196	8	5	7	14	18	4	17	2	3	3	5	13	1	7	4	4	5	5	7	7	8	7	7	13	3	5	5
OG0000197	4	10	10	2	15	10	20	6	5	3	4	8	7	3	4	5	6	6	9	9	9	9	9	9	6	6	4
OG0000198	3	12	13	0	11	8	6	3	6	5	5	6	10	19	6	6	6	6	7	7	7	8	8	7	6	6	5
OG0000200	11	14	6	11	6	7	6	7	2	7	8	7	8	7	5	6	6	6	7	7	7	8	11	8	6	7	7
OG0000203	0	6	4	9	12	6	6	9	9	9	8	16	2	9	5	6	7	7	7	7	7	5	5	9	8	9	9
OG0000204	4	9	8	4	18	9	8	7	2	11	8	14	0	3	4	4	7	7	8	8	8	8	8	8	6	9	9
OG0000205	0	3	0	13	3	2	5	20	1	2	1	6	39	10	5	6	5	5	5	4	4	2	2	5	6	5	2
OG0000206	1	9	13	1	9	5	6	9	11	6	7	8	14	6	5	7	7	7	7	7	7	7	7	6	9	7	7
OG0000207	9	13	4	13	14	6	6	7	3	6	6	6	6	6	5	6	6	6	6	7	8	8	10	12	6	6	6
OG0000208	3	12	44	1	11	4	10	2	1	7	4	2	3	1	3	3	3	3	6	6	7	12	10	7	2	3	4
OG0000209	2	8	10	0	10	7	11	7	3	11	10	10	12	3	4	6	7	7	7	7	7	7	7	6	6	9	10
