FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000107	0	0	0	-7	18	4	-1	-7	43	8	-3	4	-2	-1	0	0	3	0	0	0	0	-6	-1	0	3	3	2
OG0000108	-4	5	5	-7	3	-3	0	14	-4	0	1	0	5	2	0	2	0	0	0	0	0	4	0	0	3	0	0
OG0000109	-16	12	24	1	-5	-8	18	-2	0	0	0	5	10	7	0	1	0	0	2	0	0	9	-1	-1	-4	-1	-5
OG0000111	-4	5	0	-4	1	0	7	-4	10	-1	4	5	-4	-1	0	0	4	0	0	0	0	0	0	-1	1	6	4
OG0000113	0	0	2	5	0	5	3	3	-3	1	0	-1	5	-1	0	3	1	0	0	0	0	-4	-6	4	0	0	3
OG0000120	-6	1	2	-4	2	-4	13	-7	11	-2	4	9	2	1	0	1	1	0	0	-2	0	0	0	0	0	5	2
OG0000126	-2	0	1	0	5	-2	2	3	-5	0	0	6	1	0	0	2	1	0	1	0	1	0	-1	4	-1	0	0
OG0000129	-1	1	-3	0	2	-1	4	0	2	7	-2	3	-3	0	0	1	3	0	0	0	0	-2	0	2	1	3	4
OG0000130	-9	13	3	-8	11	-5	4	0	-1	3	0	0	-2	-2	0	1	3	0	1	0	1	3	0	1	1	2	1
OG0000133	-1	-1	6	8	0	-4	-3	2	-4	4	-2	3	6	12	0	0	0	0	0	0	0	0	-4	3	0	2	1
OG0000135	-5	4	4	-5	4	-2	9	0	-3	3	-1	1	-2	7	0	0	1	0	2	0	0	2	0	-1	-2	1	1
OG0000139	-6	1	9	-5	13	-3	0	-1	0	2	-1	5	1	-1	0	2	0	0	1	1	0	0	-1	2	-1	1	0
OG0000140	-7	4	10	-8	4	-1	-2	0	-1	0	0	0	3	2	0	1	1	0	0	0	0	3	0	0	0	0	2
OG0000144	0	0	0	33	6	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	-1	-1	40	-1	-1	0
OG0000147	-5	2	-1	-6	11	0	11	0	3	0	1	6	-4	-1	0	1	4	0	0	-1	0	-1	0	1	1	2	1
OG0000150	-6	7	5	-1	-1	-3	36	0	-2	28	-8	2	0	-2	0	1	0	0	1	-1	0	2	0	-2	-2	3	2
OG0000151	46	-5	-1	0	0	-1	-1	-4	44	-1	1	-1	-1	0	0	0	0	0	0	0	0	6	5	-1	3	0	0
OG0000153	-1	0	2	4	1	-4	2	1	-1	1	-2	4	-3	-2	0	1	2	0	2	1	1	0	0	6	0	1	0
OG0000155	-2	0	0	-1	0	-3	11	-4	1	13	-6	2	1	20	0	0	0	0	0	-3	0	-1	-1	0	0	3	2
OG0000158	-5	3	3	-3	4	1	-3	5	-1	0	0	0	3	-3	0	2	1	0	0	0	0	0	0	0	0	1	2
OG0000159	-5	0	19	-7	9	-4	11	-3	0	-4	7	2	-1	3	0	0	1	0	1	0	0	2	-1	0	-3	1	0
OG0000161	-2	1	-1	0	3	-1	8	0	1	-3	5	3	-5	7	0	0	1	0	0	0	0	-2	0	1	1	2	0
OG0000163	-2	0	1	0	3	-5	1	3	-3	1	0	0	4	-2	0	2	0	0	0	0	0	0	0	5	0	1	3
OG0000165	-8	7	2	-4	2	2	-2	0	1	0	-5	11	8	-1	0	2	1	0	0	0	0	0	0	-1	0	0	-2
OG0000169	-4	2	0	1	1	-1	2	6	-1	1	-3	4	-4	2	0	0	2	1	0	0	0	0	0	1	1	1	-1
OG0000175	0	0	3	34	-6	3	-5	7	0	0	0	2	-1	9	0	0	0	0	0	1	0	-1	-4	2	4	-1	-4
OG0000176	-7	10	-1	-3	7	-1	11	-4	4	-1	0	4	-1	1	0	1	1	0	0	0	0	0	0	1	0	0	-2
OG0000177	-6	8	4	-5	1	-1	-1	3	1	2	-2	3	2	0	0	1	1	0	0	0	0	2	0	-1	2	0	0
OG0000180	-6	6	1	-5	3	1	3	2	-1	0	0	1	-4	2	0	1	1	0	1	0	0	0	0	0	1	1	0
OG0000184	-4	0	12	-7	51	-4	1	-2	1	0	0	3	-2	-1	0	0	0	0	1	1	3	0	-3	8	0	0	-2
OG0000189	-9	1	10	0	-4	25	-2	0	-2	-3	0	0	4	-3	0	1	0	0	1	3	0	1	-1	-1	0	0	-1
OG0000196	1	-2	0	1	5	-3	10	-1	0	-2	0	8	-3	3	0	0	1	0	2	0	1	-1	0	5	-2	0	0
OG0000197	-5	1	1	-7	6	1	11	0	-1	-1	0	2	2	-1	0	1	1	0	3	0	0	0	0	0	0	0	-2
OG0000198	-5	4	5	-7	4	1	-1	-3	0	0	0	0	4	13	0	0	0	0	1	0	0	1	0	0	0	0	-1
OG0000200	0	3	-2	3	-2	0	-1	1	-4	0	1	0	2	2	0	1	0	0	1	0	0	1	3	1	0	1	0
OG0000203	-5	1	-1	0	3	-1	-1	1	1	0	-1	7	-4	4	0	1	1	0	0	0	0	-2	0	2	1	2	0
OG0000204	-4	1	0	-4	10	1	0	1	-4	2	-1	5	-4	-1	0	0	3	0	1	0	0	0	0	0	-1	2	0
OG0000205	-2	1	-2	8	-2	-2	0	14	-5	0	-1	1	33	5	0	1	-1	0	0	-1	0	-2	0	1	1	0	-3
OG0000206	-6	2	6	-5	3	-2	-1	0	2	-1	0	1	7	1	0	2	0	0	0	0	0	0	0	-1	2	0	0
OG0000207	-1	3	-4	1	2	-1	0	1	-3	0	0	0	0	1	0	1	0	0	0	1	1	0	2	4	0	0	0
OG0000208	-7	2	32	-6	4	-2	4	0	-1	3	0	-1	0	-2	0	0	0	0	3	0	1	5	-2	0	-1	0	1
OG0000209	-5	1	3	-6	4	0	4	1	-3	1	0	1	6	-1	0	2	1	0	0	0	0	0	0	-1	-1	2	1
OG0000211	-4	2	3	-4	6	-1	2	3	-2	-1	1	1	0	-1	0	1	1	0	0	0	0	1	-1	0	0	1	0
OG0000212	0	0	0	0	0	0	-2	0	0	0	0	0	0	88	0	-1	-1	0	0	0	0	-1	-1	0	-2	0	-2
OG0000213	-3	6	0	-3	3	-1	3	-2	4	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	-1
OG0000214	-1	3	0	0	3	-1	2	-4	2	4	-2	-1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	2
OG0000215	-12	10	24	0	0	-3	37	0	0	0	0	0	-1	0	0	0	0	0	2	0	0	10	0	-3	-1	0	-1
OG0000217	0	3	-1	1	0	-1	0	2	-3	-1	1	4	-2	7	0	1	0	0	0	0	0	0	1	2	0	1	0
OG0000218	-1	1	-2	6	0	-1	3	0	1	-1	0	3	3	-1	0	2	0	0	0	0	0	-1	0	6	0	0	0
OG0000219	-2	1	5	1	0	-1	0	-1	-2	3	0	-1	1	7	0	1	0	0	1	0	0	1	0	0	-3	0	2
OG0000222	-5	6	-3	-4	4	1	2	0	-1	0	2	1	5	0	0	2	0	0	0	0	0	-1	0	0	-1	0	1
OG0000223	0	0	-1	-2	9	-3	2	-2	7	-4	2	-1	12	-3	0	2	0	0	0	0	0	-1	0	3	0	0	0
OG0000224	0	0	1	4	0	-4	0	-1	3	-2	4	4	4	-1	0	2	0	0	0	0	0	-1	-2	1	1	2	2
OG0000225	0	2	0	4	-5	0	0	4	-3	-1	1	0	-4	3	0	0	2	0	1	0	0	2	2	0	0	1	0
OG0000226	0	3	-2	0	0	0	0	2	-3	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0
OG0000228	-1	2	-1	1	0	-1	0	-1	0	0	0	0	-1	2	0	1	0	0	1	1	0	0	1	1	0	0	0
OG0000229	-6	10	1	-7	5	-3	3	-3	2	4	-2	-1	2	-1	0	1	1	0	1	0	0	2	0	0	0	0	1
OG0000235	-3	1	-1	1	1	-2	-1	11	-4	1	0	0	3	-3	0	2	0	0	0	0	0	0	0	2	1	1	2
OG0000236	-4	1	-2	0	2	-1	11	4	-1	0	0	1	0	0	0	1	1	0	0	0	0	-3	0	0	0	0	1
OG0000243	-9	6	4	-5	3	-1	5	2	-2	0	1	0	1	-1	0	1	1	0	1	0	0	2	0	0	0	0	0
OG0000247	-1	1	1	3	0	-1	0	1	-3	0	0	3	-4	4	0	0	2	0	0	1	1	0	0	1	0	0	0
OG0000248	-2	0	0	0	3	-4	0	0	-2	-1	1	5	0	7	0	1	0	0	0	0	0	-2	-1	4	0	2	0
OG0000250	0	0	1	2	1	-2	1	0	-2	0	0	1	2	-3	0	1	1	0	1	0	0	0	-1	3	-2	1	2
OG0000251	-6	7	0	-5	3	-2	4	-5	3	2	0	2	2	-1	0	1	1	0	1	0	0	0	0	0	-1	2	0
OG0000255	-7	1	67	-1	0	-1	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	7	-2	-1	-1	-1	0
OG0000257	-3	0	71	0	-1	-1	3	1	-1	0	0	0	-1	2	0	0	0	0	1	0	0	4	-3	0	0	-1	0
OG0000259	-5	2	1	2	0	-2	3	-2	0	4	-2	4	-2	-1	0	0	2	0	1	0	0	0	0	0	-2	2	1
OG0000260	-1	0	0	-1	22	-3	11	3	-3	-1	0	-1	9	-2	0	1	0	0	0	0	0	-2	-1	11	0	-3	0
OG0000261	-3	1	-1	-2	6	-4	0	-3	1	-1	6	-1	10	6	0	0	0	0	-1	-1	0	-1	0	0	0	2	2
OG0000265	-3	2	0	-3	14	-3	10	-4	4	1	-3	1	1	4	0	0	0	0	0	0	0	-1	0	2	0	0	0
OG0000268	0	0	0	0	6	-3	2	10	0	-3	4	-2	10	0	0	1	0	0	0	-1	0	-4	0	2	6	0	0
