FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000218	0.426111	0.216301	0.183207	0.00465202	0.892676	0.688502	0.123007	0.887148	0.476958	0.58182	0.850001	0.115523	0.184598	0.901863	N/A	0.0334084	0.709854	0.659645	0.730087	0.736234	0.659645	0.47507	0.729105	0.000251294	0.846758	0.811681	0.85868
OG0000222	3.42555e-05	9.72155e-05	0.0327613	0.00729599	0.0152961	0.540295	0.317375	0.887148	0.668126	0.873341	0.173242	0.568939	0.0770555	0.746444	N/A	0.0486568	0.730044	0.678004	0.750388	0.756495	0.678004	0.510272	0.753103	0.833535	0.606009	0.828482	0.426076
OG0000223	0.769539	0.769539	0.546704	0.285732	4.17703e-05	0.15405	0.27823	0.32554	0.00143994	0.00629126	0.121879	0.709195	0.00029988	0.189719	N/A	0.0334084	0.709854	0.659645	0.730087	0.736234	0.659645	0.47507	0.729105	0.0326237	0.846758	0.811681	0.85868
OG0000224	0.702772	0.702772	0.32654	0.0152961	0.853854	0.032082	0.715741	0.693348	0.100335	0.33667	0.0468392	0.0785439	0.0873346	0.901863	N/A	0.0334084	0.709854	0.659645	0.730087	0.736234	0.659645	0.47507	0.0252828	0.294843	0.358195	0.0746855	0.192478
OG0000225	0.855912	0.136557	0.882698	0.0152961	0.000558244	0.903401	0.737362	0.0417765	0.131176	0.612542	0.403376	0.910458	0.0220403	0.119175	N/A	0.683855	0.0237808	0.659645	0.169335	0.756495	0.678004	0.0772255	0.0686858	0.833535	0.846758	0.284603	0.870859
OG0000229	3.14486e-05	2.89658e-07	0.467109	9.75626e-07	0.00323641	0.185881	0.15241	0.131176	0.208519	0.0201356	0.251884	0.709195	0.310584	0.901863	N/A	0.121091	0.124695	0.659645	0.169335	0.756495	0.678004	0.0772255	0.803949	0.833535	0.846758	0.811681	0.38875
OG0000235	0.00892649	0.251856	0.58516	0.410292	0.410292	0.355889	0.905165	5.18635e-05	0.0346655	0.463248	0.881551	0.910458	0.184598	0.189719	N/A	0.0334084	0.709854	0.659645	0.730087	0.736234	0.659645	0.795931	0.753103	0.0799296	0.358195	0.284603	0.165473
OG0000236	6.40423e-05	0.177622	0.142089	0.853854	0.129911	0.712294	0.000315859	0.0583875	0.693348	0.873341	0.873341	0.568939	0.756776	0.746444	N/A	0.149323	0.14785	0.678004	0.750388	0.756495	0.678004	0.0143436	0.700036	0.833535	0.860224	0.828482	0.426076
OG0000243	4.61262e-10	0.000295724	0.0384873	0.000558244	0.0667983	0.712294	0.0394042	0.208519	0.32554	0.850001	0.36618	0.902899	0.427022	0.901863	N/A	0.121091	0.124695	0.659645	0.169335	0.756495	0.678004	0.0772255	0.803949	0.833535	0.846758	0.811681	0.85868
OG0000248	0.0164563	0.702772	0.810315	0.881217	0.0713093	0.032082	0.715741	0.887148	0.32554	0.637579	0.435428	0.0484807	0.756776	0.0107701	N/A	0.149323	0.709854	0.659645	0.730087	0.736234	0.659645	0.0616444	0.308337	0.00554013	0.846758	0.0746855	0.880339
OG0000251	2.59159e-06	2.18629e-05	0.864506	0.000558244	0.0667983	0.39396	0.102369	0.000634056	0.0992727	0.173242	0.873341	0.339901	0.310584	0.901863	N/A	0.121091	0.124695	0.659645	0.169335	0.756495	0.678004	0.813904	0.773067	0.833535	0.5749	0.0746855	0.880339
OG0000255	4.40855e-08	0.284369	3.87588e-47	0.183621	0.625428	0.463813	0.00849325	0.5	0.5	0.5	0.5	0.5	0.15387	0.806983	N/A	0.559773	0.549732	0.534012	0.0294157	0.609052	0.564594	2.2732e-07	0.136788	0.269131	0.194451	0.148729	0.5
OG0000257	0.00109677	0.702772	5.4773e-53	0.705845	0.310954	0.463813	0.0253557	0.104361	0.280819	0.5	0.5	0.5	0.403278	0.0614188	N/A	0.559773	0.549732	0.534012	0.0294157	0.609052	0.564594	0.000170057	0.00395169	0.678574	0.633058	0.148729	0.5
OG0000259	8.2819e-05	0.0741294	0.40732	0.129911	0.853854	0.39396	0.15241	0.229332	0.857781	0.0370699	0.311156	0.0785439	0.522099	0.901863	N/A	0.683855	0.0237808	0.659645	0.169335	0.756495	0.678004	0.813904	0.773067	0.833535	0.210301	0.0746855	0.457915
OG0000260	0.129818	0.587962	0.722591	0.721479	3.31229e-12	0.0456848	2.43564e-05	0.0662061	0.0351949	0.199726	0.636786	0.33088	0.000990053	0.475215	N/A	0.0917303	0.659705	0.616956	0.678108	0.683855	0.616956	0.0304973	0.1818	3.14241e-09	0.804184	0.00436131	0.647635
OG0000261	0.00109677	0.135924	0.429926	0.0598176	0.000119589	0.00499681	0.895806	0.131176	0.476958	0.676095	0.00365808	0.916422	0.0013523	0.0302757	N/A	0.736234	0.709854	0.659645	0.359973	0.329527	0.616956	0.380834	0.664568	0.76823	0.846758	0.0746855	0.192478
OG0000265	0.00276453	0.0668245	0.810315	0.035207	2.53027e-09	0.120579	0.000149004	0.014543	0.0271935	0.322781	0.020593	0.494228	0.427022	0.0762124	N/A	0.712298	0.686596	0.639373	0.706247	0.712298	0.639373	0.432652	0.700036	0.124536	0.82887	0.790119	0.842393
OG0000268	0.5	0.5	0.5	0.839646	0.000625435	0.0456848	0.233078	0.000715513	0.91832	0.020593	0.00817953	0.343092	0.00081222	0.713269	N/A	0.121091	0.686596	0.639373	0.706247	0.329527	0.616956	7.22732e-05	0.5	0.091103	0.000388712	0.790119	0.842393
OG0000271	4.49361e-06	0.769539	2.81638e-11	0.00105179	0.000282702	0.120579	0.504842	0.000634056	2.96183e-09	0.199726	0.636786	0.33088	0.370973	0.000350387	N/A	0.683855	0.659705	0.0687835	0.706247	0.712298	0.639373	0.221433	0.399029	0.7961	0.82887	0.00436131	0.647635
OG0000272	6.68792e-07	0.792396	1.53986e-49	0.625428	0.625428	0.463813	0.072544	0.5	0.5	0.5	0.5	0.5	0.403278	0.806983	N/A	0.559773	0.549732	0.534012	0.0294157	0.609052	0.564594	2.10883e-06	0.0573275	0.269131	0.194451	0.148729	0.5
OG0000274	4.19897e-07	5.66166e-06	0.0292277	0.820881	0.520174	0.884096	0.895806	0.875018	0.43287	0.197437	0.658423	0.306049	0.167292	0.883907	N/A	0.0917303	0.100739	0.639373	0.706247	0.712298	0.639373	0.0144708	0.789804	0.7961	0.82887	0.116801	0.165473
OG0000275	0.503933	0.0293422	0.25568	0.864954	0.15321	0.903401	0.57844	0.857781	0.592127	0.881551	0.881551	0.339901	0.0644856	0.853815	N/A	0.0614822	0.0139634	0.639373	0.045176	0.756495	0.678004	0.813904	0.773067	0.329929	0.535851	0.0195438	0.457915
OG0000277	0.00109677	0.0415392	0.0447455	0.37824	0.37824	0.0202268	0.0172695	0.43287	0.0566774	0.21757	0.36618	0.0133199	0.0961489	0.000662762	N/A	0.712298	0.686596	0.639373	0.706247	0.712298	0.639373	0.0454818	0.664568	0.124536	0.82887	0.246115	0.85868
OG0000278	0.468583	0.000420589	0.00662531	0.463131	0.463131	0.895092	0.27823	0.875018	0.43287	0.832534	0.543167	0.494228	0.310584	0.542824	N/A	0.121091	0.686596	0.639373	0.143276	0.736234	0.659645	0.795931	0.753103	0.00554013	0.82887	0.790119	0.842393
OG0000280	0.00537406	4.03881e-05	0.00165147	0.106241	0.56001	0.310746	0.504842	0.887148	0.887148	0.197437	0.658423	0.0484807	0.427022	0.542824	N/A	0.121091	0.686596	0.639373	0.706247	0.712298	0.639373	0.773273	0.729105	0.255546	0.315116	0.0195438	0.457915
OG0000281	0.702772	0.702772	0.775496	0.0645023	0.10793	0.884096	0.895806	0.43287	0.635691	0.21757	0.0134359	0.535944	0.897019	0.883907	N/A	0.0917303	0.100739	0.639373	0.706247	0.712298	0.639373	0.0454818	0.664568	2.5885e-06	0.82887	0.246115	0.85868
OG0000284	0.503933	0.0293422	0.851552	0.15321	0.864954	0.355889	0.895806	7.62177e-05	0.014543	0.832534	0.832534	0.892965	0.731759	0.713269	N/A	0.121091	0.686596	0.639373	0.706247	0.149323	0.659645	0.795931	0.19652	0.0799296	0.82887	0.790119	0.842393
OG0000285	0.129818	0.0457149	0.202329	0.705845	0.705845	0.0573218	8.30268e-14	0.046305	0.78492	0.5	0.5	0.5	0.200531	7.49454e-20	N/A	0.227718	0.592171	0.564594	0.604938	0.609052	0.564594	0.235933	0.567086	0.678574	0.715631	0.00929416	0.5
OG0000288	0.0018571	0.0047078	0.150906	0.0002595	0.0497623	0.895092	0.715741	0.887148	0.887148	0.850001	0.850001	0.902899	0.756776	0.451169	N/A	0.149323	0.709854	0.659645	0.730087	0.736234	0.659645	0.257533	0.773067	0.817197	0.846758	0.811681	0.85868
