#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000716	0.359276	2.23668e-58	7.81491e-32	2.86207e-27	N/S
OG0000716	1.64072	7.81491e-32	7.81491e-32	1	*
OG0000717	0.359276	3.80072e-63	3.83953e-33	9.89893e-31	N/S
OG0000717	1.64072	3.83953e-33	3.83953e-33	1	*
OG0000718	0.359276	1.5514e-28	6.79257e-20	2.28397e-09	N/S
OG0000718	1.64072	6.79257e-20	6.79257e-20	1	*
OG0000719	0.359276	1.24642e-64	9.57838e-39	1.30129e-26	N/S
OG0000719	1.64072	9.57838e-39	9.57838e-39	1	*
OG0000720	0.359276	2.87322e-40	3.1596e-24	9.09364e-17	N/S
OG0000720	1.64072	3.1596e-24	3.1596e-24	1	*
OG0000728	0.359276	1.26525e-22	6.10985e-17	2.07083e-06	N/S
OG0000728	1.64072	6.10984e-17	6.10985e-17	0.999998	*
OG0000729	0.359276	2.79679e-34	2.81232e-22	9.9448e-13	N/S
OG0000729	1.64072	2.81232e-22	2.81232e-22	1	*
OG0000731	0.359276	2.69394e-18	7.96162e-15	0.000338366	N/S
OG0000731	1.64072	7.95892e-15	7.96162e-15	0.999662	*
OG0000732	0.359276	1.10467e-11	1.13749e-11	0.97114	*
OG0000732	1.64072	3.28282e-13	1.13749e-11	0.0288601	N/S
OG0000733	0.359276	1.04058e-11	1.0857e-11	0.958442	*
OG0000733	1.64072	4.51188e-13	1.0857e-11	0.0415575	N/S
OG0000734	0.359276	7.85693e-21	8.92667e-16	8.80163e-06	N/S
OG0000734	1.64072	8.92659e-16	8.92667e-16	0.999991	*
OG0000735	0.359276	5.33227e-10	5.33948e-10	0.998648	*
OG0000735	1.64072	7.21752e-13	5.33948e-10	0.00135173	N/S
OG0000736	0.359276	8.25508e-14	1.79863e-13	0.458966	N/S
OG0000736	1.64072	9.73119e-14	1.79863e-13	0.541034	N/S
OG0000737	0.359276	1.3235e-12	1.49949e-12	0.882633	N/S
OG0000737	1.64072	1.75991e-13	1.49949e-12	0.117367	N/S
OG0000739	0.359276	4.93377e-15	6.35766e-14	0.0776036	N/S
OG0000739	1.64072	5.86428e-14	6.35766e-14	0.922396	N/S
OG0000740	0.359276	1.75337e-18	1.57314e-15	0.00111456	N/S
OG0000740	1.64072	1.57139e-15	1.57314e-15	0.998885	*
OG0000741	0.359276	8.17369e-11	8.19934e-11	0.996871	*
OG0000741	1.64072	2.56521e-13	8.19934e-11	0.00312856	N/S
OG0000742	0.359276	2.44212e-14	9.05767e-14	0.269619	N/S
OG0000742	1.64072	6.61555e-14	9.05767e-14	0.730381	N/S
OG0000743	0.359276	2.6734e-23	2.75806e-17	9.69302e-07	N/S
OG0000743	1.64072	2.75806e-17	2.75806e-17	0.999999	*
OG0000745	0.359276	2.47809e-13	2.994e-13	0.827686	N/S
OG0000745	1.64072	5.15908e-14	2.994e-13	0.172314	N/S
OG0000746	0.359276	3.23034e-12	3.62158e-12	0.891971	N/S
OG0000746	1.64072	3.91234e-13	3.62158e-12	0.108029	N/S
OG0000748	0.359276	3.46721e-16	5.00865e-15	0.0692245	N/S
OG0000748	1.64072	4.66193e-15	5.00865e-15	0.930776	N/S
